K,m,r,rstd,g1,g2,g3,g4,g5,g1_std,g2_std,g3_std,g4_std,g5_std
0.0,0.0,0.03597850005703921,0.020826056925508506,23.0,23.0,21.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.04069255079808451,0.02436867582965549,23.0,22.678,18.074,15.456,13.966,0.0,0.989098579515707,2.4876744159957975,1.3827740234760022,0.5838184649358038
0.4,0.0,0.05192065993761043,0.02382470488702078,19.066,15.188,13.882,12.466,11.44,4.224883903730384,2.536268124627204,2.461722161414645,2.0427540233713835,1.813945974939711
0.6000000000000001,0.0,0.06105520457600194,0.031479048234339474,22.228,13.216,11.54,10.444,9.524,3.4899879655953083,1.5288374668354996,1.1297787393998842,1.0482671415245255,0.6110842822393614
0.8,0.0,0.05141312550205043,0.028660402556710294,15.498,13.408,11.26,10.08,8.964,2.554602904562665,0.5343556867854963,1.1612062693595806,0.9785703858180066,0.8641203619866897
1.0,0.0,0.07128019785212045,0.03452109103670041,21.076,16.828,14.112,13.644,12.104,1.413585512093272,0.3773804446443929,0.6807760277800591,0.4992634575051497,1.1580949874686457
1.2000000000000002,0.0,0.08719292856787686,0.04024344334808974,46.878,19.596,14.276,13.152,12.444,2.4484925974974936,1.5049199314249215,1.4600767103135344,0.7244970669367787,0.8982560882064744
1.4000000000000001,0.0,0.18393802728382247,0.05470091844045782,100.72,36.564,13.558,12.304,11.4,1.0205880657738435,2.2022497587694216,1.4094807554557107,1.0823973392428519,0.7293833011524207
1.6,0.0,0.5117084160848582,0.024482515050286945,314.92,6.962,6.402,5.938,5.532,0.2712931993250107,0.663743926525885,0.5765379432439822,0.571100691647278,0.5147581956608365
1.8,0.0,0.6904445133248013,0.018230641165716578,410.212,6.206,5.638,5.13,4.824,0.6156752390668272,0.7039630672130475,0.6155940220632441,0.49909918853871366,0.45279575969745905
2.0,0.0,0.7802026739966155,0.01002384704482593,448.06,5.118,4.458,4.158,3.846,0.23748684174075646,0.6723659717743028,0.572918842420113,0.5069871793250771,0.4629081982423695
2.2,0.0,0.8384169731361978,0.007698708858178783,471.498,4.784,3.962,3.33,2.99,0.4999959999840012,0.7275603067787605,0.7187183036489312,0.5376802023508045,0.29308701779505947
2.4000000000000004,0.0,0.8735869522447304,0.0066893301611365835,482.0,4.122,3.24,2.934,2.0,0.0,0.824084947077667,0.4270831300812503,0.24828209762284517,0.0
2.6,0.0,0.8994174405773847,0.004012914667462416,491.0,2.742,1.236,0.0,0.0,0.0,0.954691573231901,0.9717530550505065,0.0,0.0
2.8000000000000003,0.0,0.9218483226347073,0.0020651114199128043,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.9354948751637051,0.00164858338659894,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.0,0.9450954550785066,0.001119956449802798,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4000000000000004,0.0,0.9530101601163652,2.2747383366409583e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.0,0.9595217642457994,8.218650437240237e-17,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8000000000000003,0.0,0.964461900088183,1.9191129073742896e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.9684669784313633,2.3992122494236665e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2,0.0,0.9717869422803764,2.7976739077293704e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4,0.0,0.9745817331628073,1.2947314098277876e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6000000000000005,0.0,0.9769630374645824,1.393761091115239e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.800000000000001,0.0,0.9790124229525675,2.1447715854071792e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.9807912630415226,1.158042977991629e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2,0.0,0.9823467776197454,1.0764011587430408e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,0.0,0.9837159494840733,3.207372638492097e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.6000000000000005,0.0,0.9849281752778779,3.3314091403380805e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.800000000000001,0.0,0.9860071184687028,2.0805946787878465e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.9869720378844428,1.3579257586311982e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.987838760333618,1.756820506391364e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.988620405334828,1.444143697205389e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6000000000000005,0.0,0.9893279334194993,6.915539919559704e-17,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.800000000000001,0.0,0.9899705665309514,1.1322097734007353e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.9905561141985475,8.840052795286716e-17,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.9910912293097257,2.4359214111829015e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.9915816106128279,1.8676842118715255e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.6000000000000005,0.0,0.992032164454823,1.0683553351959503e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.800000000000001,0.0,0.9924471350005981,1.1190695630917483e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.9928302098534164,1.1256588421947612e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.200000000000001,0.0,0.9931846063109117,1.383107983911941e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.9935131422555793,2.8599827815933377e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.9938182947627816,1.60886601221371e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.9941022488232271,2.515090134317454e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.9943669380580838,1.506798026558047e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.200000000000001,0.0,0.9946140789091231,1.3089336417583915e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.4,0.0,0.9948451994819004,1.444143697205389e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.600000000000001,0.0,0.9950616639840733,1.771492954708637e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.8,0.0,0.995264693516817,7.447602459741819e-17,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.995455383832603,1.9216802836491458e-16,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.03597850005703921,0.020826056925508506,23.0,23.0,21.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0
0.2,0.1,0.04018322156220545,0.02406303244418099,23.0,22.778,18.11,15.44,13.97,0.0,0.7298739617221591,2.456399804592072,1.3908270920570873,0.5771481612203232
0.4,0.1,0.05102517568562786,0.023437999543228918,18.622,15.132,13.844,12.634,11.518,3.817737026040423,2.436919366741546,2.5860518169595945,2.40832805074393,1.8519384439014086
0.6000000000000001,0.1,0.06274915613874352,0.030608402709005774,14.142,12.822,11.886,10.786,10.084,2.1665262518603496,0.7199416643034381,0.8491195439983639,0.9860040567867849,0.8514364333289919
0.8,0.1,0.056903627915403605,0.026614139234632555,16.358,13.658,12.274,11.362,10.372,2.754965698516048,1.281029273670209,1.1220178251703512,0.6252647439285244,0.587891146386813
