K,m,r,rstd,g1,g2,g3,g4,g5,g1_std,g2_std,g3_std,g4_std,g5_std
0.0,0.0,0.038430483996884146,0.021048690661987477,31.0,23.0,18.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.03955083537906649,0.02249233393571424,30.6,22.85,17.928,14.734,13.294,1.7435595774162749,0.6538348415311003,0.5318044753478489,0.9915866074125818,0.6160876561009784
0.2,0.0,0.04151266195260127,0.02427565751655102,23.0,17.08,14.394,13.034,12.326,0.0,1.313620949893847,0.939555213917734,0.7777171722419397,0.6129632941702124
0.30000000000000004,0.0,0.045912853096159896,0.02793841022017556,20.114,13.786,12.36,11.456,10.842,3.5186650877854353,1.8931994084089516,1.2753038853543859,0.6325061264525416,0.6008627131050825
0.4,0.0,0.052296605972848194,0.026375181127428995,16.804,13.052,11.752,10.862,10.338,2.029183086860326,1.193857612950555,1.413681718068116,1.2144776655006906,1.0274998783454876
0.5,0.0,0.04799217571535101,0.023400458976355752,18.364,15.16,13.488,12.532,11.372,4.1683934555173865,1.869331431287675,1.3137183868698894,1.4258246736538127,1.0870216189202497
0.6000000000000001,0.0,0.051141987189754316,0.02239243720234723,16.482,13.944,12.724,11.286,10.58,6.265913820026577,3.2417378055604766,2.247626303458835,1.6661944664414206,1.122319027727854
0.7000000000000001,0.0,0.06760388716930985,0.036056930431809665,15.764,13.63,12.33,11.562,11.08,2.4232837225549924,1.0223013254417712,0.994535067255043,0.913321411114406,0.9086253353280432
0.8,0.0,0.06438861185860623,0.029600838368758393,19.102,13.976,12.284,11.28,10.428,3.0599993464051525,1.2662637955813223,1.1846282117187559,0.783326241102644,0.6299333298056233
0.9,0.0,0.06386721182664537,0.028012998733695546,22.0,13.296,11.33,10.614,10.228,0.0,2.269005068306375,1.056929515152266,0.790571944860176,0.5291653805758647
1.0,0.0,0.09058451371901159,0.049871099966473625,31.342,17.632,14.026,12.524,11.564,0.47437959483940456,0.5766940263259189,1.3569539417386272,0.8279033760047184,0.9888902871400868
1.1,0.0,0.08843014588184808,0.044501051604969255,31.196,17.304,14.884,13.384,12.316,0.3969685126052162,0.45998260836688226,0.5818453402752314,0.7619343803766817,0.6388614873350832
1.2000000000000002,0.0,0.09040138603590628,0.048625444994295955,50.646,20.006,15.27,13.968,12.502,8.55386953372568,0.9391293840573862,1.5142985174660943,1.2833456276467359,0.7197193897624287
1.3,0.0,0.14162071851733413,0.06117323207015754,73.65,18.39,14.08,13.484,12.88,0.5581218504950353,1.806073088222079,0.7110555533852483,0.7360326079733149,0.7959899496852971
1.4000000000000001,0.0,0.1981839922695451,0.05302365333996136,112.518,15.832,13.732,12.784,11.294,0.6645870898535464,0.6721428419614367,0.590064403264593,0.8445969452940283,0.7208078800901094
1.5,0.0,0.24011571295703493,0.04259539913518342,136.0,20.85,13.642,11.67,10.692,0.0,1.9563997546513876,1.3497540516701496,0.7078841713161858,0.7464154339240293
1.6,0.0,0.29852676854626864,0.03789027264878469,181.48,16.17,13.606,12.616,11.25,0.8749857141690935,3.080438280504899,0.8141031875628535,0.9962650249808006,1.0504760825454333
1.7000000000000002,0.0,0.4164158524231557,0.039107093894523756,253.58,11.988,10.836,9.512,8.176,3.174208562775907,1.0935520106515197,0.8655079433488775,0.9766555175700348,0.8882702291532681
1.8,0.0,0.5923827016519116,0.028416115282906922,359.444,9.72,6.894,5.988,5.498,0.804278558709601,1.030339749791298,1.1183756077454508,0.576069440258728,0.549541627176685
1.9000000000000001,0.0,0.6778015853395504,0.016878330820134388,409.344,7.104,5.81,5.192,4.562,0.5344754437764216,1.246268028956849,0.8751571287488882,0.7688536921937743,0.6739109733488546
2.0,0.0,0.7435650055490687,0.011201612346250934,441.082,5.85,4.896,4.25,4.002,0.27436472076416757,0.9118662182579199,0.7246957982491707,0.5435991169970753,0.29999333325925703
2.1,0.0,0.7842855401263653,0.01014508510745485,455.326,5.884,4.792,4.138,3.622,0.4687472666586953,0.7965827012934678,0.8394855567548496,0.6090615732419834,0.5788920452035952
2.2,0.0,0.8166479847793613,0.008098692662466992,468.0,5.974,4.616,3.188,3.0,0.0,0.8610017421585163,0.9168118672879395,0.5221647249671314,0.0
2.3000000000000003,0.0,0.843043221492212,0.007221474686390774,477.0,5.42,3.772,2.96,2.192,0.0,0.8646386528486916,0.8555793358888448,0.1959591794226539,0.39387307600291777
2.4000000000000004,0.0,0.8601594090137974,0.005840887988685761,481.298,5.144,3.076,2.836,0.866,0.45737949232557273,0.9976291896290918,0.2649981132008294,0.3702755730533669,1.1081714668768545
