,K,m,cluster mean phase velocity,cluster size,type,$r$\'s temporal std
11461,8.599999999999987,8.8,0.0141057510295755,410.0,main,0.0431184960797491
11462,8.599999999999987,8.8,1.200144438195278,22.0,2nd cluster(+),0.0431184960797491
11463,8.699999999999987,8.8,0.01788878889236185,408.0,main,0.04756970051925413
11464,8.699999999999987,8.8,1.209702923179991,22.0,2nd cluster(+),0.04756970051925413
11465,8.699999999999987,8.8,-1.56634524230605,17.0,2nd cluster(-),0.04756970051925413
11466,8.799999999999986,8.8,0.02738299996603276,411.0,main,0.04578017355934905
11467,8.799999999999986,8.8,1.251150057216068,21.0,2nd cluster(+),0.04578017355934905
11468,8.799999999999986,8.8,-1.562909610751465,17.0,2nd cluster(-),0.04578017355934905
11469,8.899999999999986,8.8,0.01563295171150397,415.0,main,0.0416741639241556
11470,8.899999999999986,8.8,1.266280323874572,21.0,2nd cluster(+),0.0416741639241556
11471,8.899999999999986,8.8,-1.557657924373208,17.0,2nd cluster(-),0.0416741639241556
11472,8.999999999999986,8.8,0.0009880915209398962,419.0,main,0.04082700483481116
11473,8.999999999999986,8.8,-1.482039043598989,24.0,2nd cluster(-),0.04082700483481116
11474,8.999999999999986,8.8,1.182113768429767,19.0,2nd cluster(+),0.04082700483481116
11475,9.099999999999985,8.8,0.003563164362821526,418.0,main,0.04160932271364257
11476,9.099999999999985,8.8,-1.471780858256308,25.0,2nd cluster(-),0.04160932271364257
11477,9.199999999999985,8.8,0.006422124322236588,419.0,main,0.04170224351998999
11478,9.199999999999985,8.8,-1.470485118200694,25.0,2nd cluster(-),0.04170224351998999
11479,9.299999999999985,8.8,0.007700868809604036,424.0,main,0.03918909097510834
11480,9.299999999999985,8.8,-1.474408071756039,23.0,2nd cluster(-),0.03918909097510834
11481,9.299999999999985,8.8,1.174158140157472,13.0,2nd cluster(+),0.03918909097510834
11482,9.399999999999984,8.8,0.0139043730324919,427.0,main,0.0388262779713581
11483,9.399999999999984,8.8,-1.465129338056161,23.0,2nd cluster(-),0.0388262779713581
11484,9.499999999999984,8.8,0.02931636345355547,426.0,main,0.04186579855801423
11485,9.499999999999984,8.8,-1.450529397438929,26.0,2nd cluster(-),0.04186579855801423
11486,9.599999999999984,8.8,0.02590721218005416,429.0,main,0.03928342958671625
11487,9.599999999999984,8.8,-1.460989720681549,24.0,2nd cluster(-),0.03928342958671625
11488,9.699999999999983,8.8,0.02864970722906754,434.0,main,0.02855704749088622
11489,9.699999999999983,8.8,-1.505693990833558,19.0,2nd cluster(-),0.02855704749088622
11490,9.799999999999983,8.8,0.01946515475765914,437.0,main,0.03137562451693596
11491,9.799999999999983,8.8,-1.50271493461729,19.0,2nd cluster(-),0.03137562451693596
11492,9.899999999999983,8.8,0.02271645333976028,436.0,main,0.03095523889582123
11493,9.899999999999983,8.8,-1.497589922593759,19.0,2nd cluster(-),0.03095523889582123
11494,9.999999999999982,8.8,0.02503259752005093,439.0,main,0.03139339260239258
11495,9.999999999999982,8.8,-1.499668587813308,18.0,2nd cluster(-),0.03139339260239258
11496,2.1,8.9,0.180015663141845,78.0,main,0.03332343361027154
11497,2.1,8.9,-0.2669575708904854,27.0,2nd cluster(-),0.03332343361027154
11498,2.2,8.9,0.177356364027163,80.0,main,0.0361307506215256
11499,2.2,8.9,-0.2701283622293575,27.0,2nd cluster(-),0.0361307506215256
11500,2.3,8.9,0.1687384235454195,128.0,main,0.02735457763714976
11501,2.3,8.9,-0.2474943490315278,16.0,2nd cluster(-),0.02735457763714976
11502,2.4,8.9,0.1560467467316609,134.0,main,0.07501893747536267
11503,2.4,8.9,-0.2899917375291965,60.0,2nd cluster(-),0.07501893747536267
11504,2.5,8.9,0.2359215353386591,160.0,main,0.1082287348783957
11505,2.5,8.9,-0.2790512154589312,67.0,2nd cluster(-),0.1082287348783957
