K,m,r,rstd,g1,g2,g3,g4,g5,g1_std,g2_std,g3_std,g4_std,g5_std
0.0,0.0,0.037115250302209704,0.01807052969306716,23.0,23.0,21.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.04451655321634266,0.022203364180268175,23.0,23.0,21.0,17.456,15.644,0.0,0.0,0.0,0.4980602373207481,1.2950922747047775
0.2,0.0,0.04438403880389365,0.026330023916214362,23.23,19.16,14.53,13.254,11.942,0.42083250825001545,3.1601265797432854,2.182910900609551,1.0740037243883327,1.1395771145473272
0.30000000000000004,0.0,0.03988308084102149,0.024506203225248872,23.414,18.02,15.258,13.948,12.78,1.433388991167433,3.0632662306760023,2.0345603947781945,1.5675764734136564,1.7998888854593273
0.4,0.0,0.04275182676903668,0.022290550472701575,16.002,13.75,12.57,11.75,10.846,3.3283623600804098,1.6503030024816654,1.337572427945497,1.159094474147815,1.210902143032212
0.5,0.0,0.05075958934275012,0.027036616852732162,16.552,13.242,11.022,10.062,9.218,2.8564481441118494,1.9696283913469557,1.909323440384052,1.533021852420896,1.408004261357185
0.6000000000000001,0.0,0.05400298625101294,0.021690673723602415,17.96,13.098,11.874,10.57,9.702,5.978494793842351,1.602621602250519,1.357248687602977,1.0793979803575666,0.5806858014451575
0.7000000000000001,0.0,0.06475933622056954,0.03579746189984912,16.336,12.354,11.004,10.2,9.78,3.8836972075587854,0.8078886061828091,1.0295552437824806,0.8366600265340798,0.6925315877272288
0.8,0.0,0.06317295072368288,0.03661463074307639,16.67,14.08,13.07,12.256,11.468,3.2730872276796985,0.8158431221748489,0.6237788069500262,0.8823060693432898,1.0511783863835835
0.9,0.0,0.06898926905177563,0.030609007934714945,17.102,15.306,13.608,12.062,10.844,0.5546133788505276,0.5553053214223708,0.9243029806291871,1.2058839081769026,0.9421592222124655
1.0,0.0,0.06291920434841704,0.03483837310638028,27.188,21.824,14.864,13.82,12.154,2.4455379776237303,0.3808201675331811,1.2936398262267577,0.6508456038109198,1.2191324784452302
1.1,0.0,0.08069871645996471,0.028229727555641244,25.224,23.224,15.2,11.984,10.622,2.571735600717913,0.6883487488185002,0.9736529155710487,1.125941383909477,0.6805262669434619
1.2000000000000002,0.0,0.06930031188913602,0.03705783231143981,41.96,24.394,15.59,14.016,13.228,0.9991996797437461,2.346649526452563,1.8681274046488352,1.3563716304907005,0.8988971020089009
1.3,0.0,0.12259517708795607,0.05857420110186591,64.366,30.0,16.21,14.052,13.186,2.6245083349077047,0.0,1.5652156400956387,1.3346520145715879,1.4870790160579919
1.4000000000000001,0.0,0.19924420272073734,0.07391399105657682,98.746,33.198,16.498,12.452,11.374,1.2122227518076054,0.3984921580156874,3.706480271092785,0.8364783320564851,0.6914651111950603
1.5,0.0,0.3678586267344099,0.040067663270469615,231.106,11.072,8.632,7.696,7.126,0.677321194116941,1.1759319708214377,1.0642255400054994,0.7290980729641277,0.567559688490999
1.6,0.0,0.5118729568703669,0.02613345672098937,314.848,7.422,6.356,5.59,5.234,0.3590208907570703,0.6985098424503421,0.8156371742386437,0.5743692192309762,0.4327169975861806
1.7000000000000002,0.0,0.610674044262827,0.017854557063535177,366.608,6.6,5.584,5.096,4.862,1.0556211441611096,0.7797435475847205,0.6379216252800983,0.40839196857920745,0.40860249632130136
1.8,0.0,0.6915454617856037,0.012333463457864789,409.82,6.404,5.384,4.902,4.526,1.0897706180660283,0.9212947411116588,0.6815746474158229,0.579996551713885,0.5668544786803752
1.9000000000000001,0.0,0.7418027496424908,0.010862230552174728,432.2,5.322,4.544,4.19,3.974,1.7111399708966075,0.9090192517213216,0.5514199851293026,0.4073082370883259,0.3483159485294911
