K,m,r,rstd,g1,g2,g3,g4,g5,g1_std,g2_std,g3_std,g4_std,g5_std
0.0,0.0,0.04549303186537353,0.02033704281169252,23.0,23.0,21.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.04581119339695374,0.02255689587486764,29.636,22.484,18.512,15.692,13.834,9.763170796416526,0.875067997357918,1.939550463380618,1.2087745860994978,0.9541718922709903
0.2,0.0,0.04175722849106039,0.022942858142927174,24.576,22.496,19.562,15.41,13.402,3.7304455497969675,1.345356458341061,2.60041458233107,2.057644284126874,1.0603754052221275
0.30000000000000004,0.0,0.044737219167712186,0.019789491766719434,24.408,21.036,16.834,14.278,13.598,2.7563628208202395,2.9166254473277826,2.312237877036008,0.7750587074538299,0.6814660666533596
0.4,0.0,0.049023827402661854,0.02610231223606555,15.95,13.198,11.944,10.742,10.104,3.804668185269248,1.400998215559176,1.3582577075061977,1.3458959840938711,1.3361077800836159
0.5,0.0,0.04850603160505254,0.02400999651092162,17.706,14.18,12.376,11.322,10.32,3.8407764839938205,1.6563815985454557,1.3261312152272118,1.2499263978330897,1.4483093592185319
0.6000000000000001,0.0,0.05419746101546063,0.029560163456353667,13.458,11.966,11.082,10.28,9.538,1.660191555212835,1.1405454835296989,1.0804054794381595,1.0205880657738404,1.128076238558368
0.7000000000000001,0.0,0.05790889088276909,0.029132130657454333,17.806,13.732,11.726,10.796,9.874,3.952766626048139,2.8656894458402187,1.3838077901211492,0.8452123993411342,0.3318493634165962
0.8,0.0,0.06424390655684116,0.03566318950037516,14.412,13.1,12.198,11.776,10.988,1.5729767957601963,1.0459445491994275,0.6409336939184983,0.5948310684555691,0.34620225302559626
0.9,0.0,0.07176396325574588,0.030361392517125114,21.316,17.32,13.0,11.878,10.774,1.6407754264371583,1.7497428382479483,0.0,0.6892865877122489,0.5682640231441687
1.0,0.0,0.07804828036619753,0.033524615351505645,19.328,17.068,13.048,12.368,11.398,1.9163548731902469,0.25174590364095284,0.26400000000000157,0.7749683864519922,0.6660300293530315
1.1,0.0,0.07698724758135098,0.034060813844469906,29.342,17.312,15.95,13.82,12.94,2.085434247345148,0.7257106861553049,0.21794494717703622,0.6867313885355752,0.37999999999999906
1.2000000000000002,0.0,0.10345033354048189,0.04629222886701473,37.11,28.158,17.254,13.524,12.198,4.063729813853257,1.4604916980250175,1.2479919871537632,1.2511690533257365,1.3808678430610275
1.3,0.0,0.13138405021294783,0.04690575521218656,70.726,26.438,14.044,12.714,11.674,2.89670916731383,6.759153497295323,1.6595372849080554,1.3039187091226228,1.2131463225843775
1.4000000000000001,0.0,0.1654813083396183,0.06150722589070733,103.292,35.574,23.944,13.304,12.1,1.3966875097887896,1.8731054428408456,4.907633238130178,1.3385006537166872,0.8160882305241257
1.5,0.0,0.3710186974215728,0.031504246831609475,230.574,11.944,10.56,9.18,7.99,1.551942009225869,1.514220591591593,0.9769339793455866,0.9357350052231663,0.8751571287488844
1.6,0.0,0.5125367632249666,0.02550131177434019,315.0,8.024,7.294,6.768,6.382,0.0,0.7690409611977764,0.6719851188828491,0.6018106014353681,0.7155948574437911
1.7000000000000002,0.0,0.6085064121007868,0.018903398027478063,366.946,7.246,5.99,5.348,5.004,0.34508549665264326,0.716577979008566,0.8954886933959579,0.6315821403428075,0.4098585121721903
1.8,0.0,0.6917598495470528,0.01416218908840642,409.688,6.208,5.34,4.984,4.704,0.7501039927903339,0.9015187186076636,0.6069596362197404,0.4192183202103617,0.4778953860417549
1.9000000000000001,0.0,0.7415307471658634,0.010475101063614678,432.396,5.432,4.638,4.262,3.972,1.4950531763118085,0.7624801636764058,0.6090615732419852,0.47471675765660676,0.3888650151402157
2.0,0.0,0.7808333086192663,0.010309331262308171,448.07,5.232,4.55,4.154,3.89,0.2551470164434615,0.7682291324858738,0.5509083408335718,0.43160630208559003,0.39230090491866104
2.1,0.0,0.8133181514346356,0.009266751998838748,464.0,5.034,4.66,3.956,3.262,0.0,0.3909526825589,0.6167657578043707,0.825871660731859,0.5773698987650835
2.2,0.0,0.8383916393241915,0.008175504635569828,471.456,4.58,3.752,3.362,3.076,0.4980602373207496,0.9031057523900521,0.7088695225498148,0.5281628536729943,0.3608656259606861
2.3000000000000003,0.0,0.8555699147901381,0.007181811435506212,477.196,4.428,3.604,3.196,2.97,0.5075273391650948,0.7326772823010145,0.6627095894884847,0.39696851260521776,0.26286878856189877
2.4000000000000004,0.0,0.8735670109109048,0.005523691958251338,482.0,3.928,3.218,2.918,2.0,0.0,0.8335562368550766,0.4128873938497037,0.27436472076416735,0.0
2.5,0.0,0.8873660333565734,0.005367993604752606,488.0,4.016,2.0,0.984,0.0,0.0,0.9998719918069525,0.0,0.9998719918069525,0.0
2.6,0.0,0.8994634743030617,0.003686407046344927,491.0,2.96,1.04,0.0,0.0,0.0,0.999199679743744,0.999199679743744,0.0,0.0
2.7,0.0,0.9124743913312966,0.0021995474818813005,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8000000000000003,0.0,0.9217472935608682,0.0020648401506496565,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9000000000000004,0.0,0.9293522297745227,0.0018412243249340112,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.9354836890752442,0.0016259906807968684,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.0,0.9405866939384645,0.001558937950643597,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.0,0.9451362918102408,0.0010974552678624044,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3000000000000003,0.0,0.9493282865646928,0.0009392618033696664,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4000000000000004,0.0,0.9530101601161686,1.2111435137299124e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.9565641078837541,1.3329757636442674e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.0,0.9595217642456821,9.630120849443209e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7,0.0,0.962130277531006,1.1807429346801505e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8000000000000003,0.0,0.964461900088096,1.8225171072775628e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9000000000000004,0.0,0.9665627819343982,1.6638014274127906e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.9684669784312886,1.1724024528775353e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1000000000000005,0.0,0.9702011681987498,1.0731561855144744e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2,0.0,0.9717869422803124,8.643778949628178e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.3,0.0,0.9732421424940758,1.22434386406974e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.4,0.0,0.9745817331627552,1.2042018567776186e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.975818408794772,1.7422520196521017e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.6000000000000005,0.0,0.976963037464539,6.628870115149793e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7,0.0,0.978024994984934,9.500306283985542e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.800000000000001,0.0,0.9790124229525297,1.1788311270128534e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.9,0.0,0.9799324318031554,4.667882503138823e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.9807912630414843,7.359113967760668e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.1000000000000005,0.0,0.9815944204916368,6.39376851900766e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2,0.0,0.9823467776197125,1.0980253891955743e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.300000000000001,0.0,0.9830526660988501,1.4281964396256186e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.4,0.0,0.9837159494840432,7.928721294124411e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.9843400849381511,6.5950125955911954e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.6000000000000005,0.0,0.9849281752778549,1.018358022887209e-14,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7,0.0,0.9854830131116343,6.829811959479555e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.800000000000001,0.0,0.98600711846868,5.966184001850079e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.9,0.0,0.9865027710337467,4.8388048748058775e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.9869720378844243,4.966232478529249e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.1000000000000005,0.0,0.9874167974569973,7.147900021907975e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.2,0.0,0.987838760333593,6.137796474867441e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.300000000000001,0.0,0.9882394873369446,7.765725552431652e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.4,0.0,0.9886204053348117,6.1726443270219034e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.9889828210878677,6.101119492349018e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.6000000000000005,0.0,0.9893279334194839,9.07994935174558e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7,0.0,0.9896568439412465,4.982821442045959e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.800000000000001,0.0,0.9899705665309327,6.427686994600762e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,0.0,0.9902700357295326,6.303705159112307e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.990556114198532,7.998043895382705e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.1000000000000005,0.0,0.9908295993582078,3.955720118568495e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.2,0.0,0.9910912293097115,7.377172607882089e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.300000000000001,0.0,0.99134168812961,5.449247855835641e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4,0.0,0.9915816106128125,3.135946732904551e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,0.0,0.9918115865298025,3.1825855469289983e-15,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
