level_0,level_1,rs,r_mean,r_std
0,1.0,[0.03193045 0.03193045 0.03306197 ... 0.00698054 0.01000954 0.01378435],0.035381273941262247,0.019256356738052254
0,1.5,[0.03193045 0.03193045 0.03306996 ... 0.08146037 0.07761588 0.07295736],0.03981993877541322,0.018079998634325165
0,2.0,[0.03193045 0.03193045 0.03307796 ... 0.02747594 0.0287159  0.02970651],0.038874152057130316,0.022145263358266044
0,2.5,[0.03193045 0.03193045 0.02863973 ... 0.22802082 0.22705731 0.22647297],0.07413748903412114,0.029097745523034266
0,3.0,[0.03193045 0.03193045 0.03309395 ... 0.35513301 0.34867871 0.34245072],0.45322993183962285,0.13308429449912615
0,3.5,[0.03193045 0.03193045 0.03310194 ... 0.45101618 0.42998053 0.4103825 ],0.46331541770585877,0.16633285371549744
0,4.0,[0.03193045 0.03193045 0.03310994 ... 0.52682446 0.55065574 0.57617071],0.5355101521049676,0.12151263995845872
0,4.5,[0.03193045 0.03193045 0.03311794 ... 0.45711398 0.45848924 0.46254416],0.5666536650638263,0.10139700109342159
0,5.0,[0.03193045 0.03193045 0.03312594 ... 0.6826679  0.68596214 0.68862759],0.681396988678809,0.0402917935709274
0,5.5,[0.03193045 0.03193045 0.03313393 ... 0.74257338 0.74161914 0.74038522],0.7472561401699604,0.023755366409630232
0,6.0,[0.03193045 0.03193045 0.03314193 ... 0.76801254 0.76563267 0.76302946],0.7745600866617632,0.027569526098868206
0,6.5,[0.03193045 0.03193045 0.03314993 ... 0.81202823 0.82062993 0.82946729],0.8057014141777841,0.034154604643895775
0,7.0,[0.03193045 0.03193045 0.03315793 ... 0.84603675 0.84522247 0.84354045],0.8147979700922323,0.03441996413333865
0,7.5,[0.03193045 0.03193045 0.03316594 ... 0.80129008 0.79368973 0.78769777],0.8135710587873596,0.035840551606303915
0,8.0,[0.03193045 0.03193045 0.03317394 ... 0.86230506 0.86681717 0.87041868],0.8277152418221301,0.02431814214751543
0,8.5,[0.03193045 0.03193045 0.03318194 ... 0.86637254 0.86929124 0.87213952],0.8688392365789972,0.01601553246775872
0,9.0,[0.03193045 0.03193045 0.03318994 ... 0.90947411 0.90815871 0.90532577],0.8759881791581564,0.018423865918158328
0,9.5,[0.03193045 0.03193045 0.03319795 ... 0.94170874 0.93624462 0.92914203],0.8984901707498936,0.025109787116060305
0,10.0,[0.03193045 0.03193045 0.03320595 ... 0.86035676 0.86066033 0.86241624],0.9021772643127653,0.023963167785233424
0,10.5,[0.03193045 0.03193045 0.03321396 ... 0.87605331 0.87744365 0.87988432],0.9017225404320252,0.024649250865855402
0,11.0,[0.03193045 0.03193045 0.03322197 ... 0.92627257 0.91794664 0.90980432],0.9037944596067029,0.023946490666563947
0,11.5,[0.03193045 0.03193045 0.03322997 ... 0.90902767 0.90576685 0.90308499],0.9053918624645397,0.021928629365764677
0,12.0,[0.03193045 0.03193045 0.03323798 ... 0.94685505 0.94560177 0.94345566],0.9312349813739627,0.008846646827522278
0,12.5,[0.03193045 0.03193045 0.03324599 ... 0.9443194  0.94043188 0.93647896],0.9417247805256854,0.007673257117163216
0,13.0,[0.03193045 0.03193045 0.033254   ... 0.95833543 0.95701315 0.95515412],0.9467169332494808,0.009774770772229342
0,13.5,[0.03193045 0.03193045 0.03326201 ... 0.94383598 0.94462774 0.9459668 ],0.9516306141615787,0.012210369592378565
0,14.0,[0.03193045 0.03193045 0.03327002 ... 0.94359403 0.94351151 0.94384792],0.9514021632318327,0.012199834381899194
0,14.5,[0.03193045 0.03193045 0.03327803 ... 0.95328343 0.95508809 0.9565948 ],0.9536391088697261,0.011636007430403791
1,1.0,[0.05397133 0.05397133 0.05531778 ... 0.08451638 0.08062966 0.0773694 ],0.0441218377674511,0.023460262374246667
1,1.5,[0.05397133 0.05397133 0.05533134 ... 0.02581067 0.02434333 0.02299682],0.04086001965065141,0.0235041551084447
1,2.0,[0.05397133 0.05397133 0.05534491 ... 0.01353315 0.01803494 0.02252785],0.04443447123603653,0.0228828377350229
1,2.5,[0.05397133 0.05397133 0.05464969 ... 0.36168257 0.35857567 0.35473127],0.055578086234413036,0.026099714466393815
1,3.0,[0.05397133 0.05397133 0.05537205 ... 0.47057492 0.48052273 0.49044226],0.43531319806392016,0.09716390006667022
1,3.5,[0.05397133 0.05397133 0.05538562 ... 0.61912084 0.61919125 0.61843833],0.5461371487242186,0.03688908851056548
1,4.0,[0.05397133 0.05397133 0.05539919 ... 0.57020876 0.57443703 0.57837158],0.6352112212461546,0.07362852448635251
1,4.5,[0.05397133 0.05397133 0.05541276 ... 0.7586011  0.74734389 0.73508931],0.6591667045687245,0.06891583882037017
1,5.0,[0.05397133 0.05397133 0.05542634 ... 0.6571248  0.64896443 0.64184634],0.6537783238864603,0.06791877679323959
1,5.5,[0.05397133 0.05397133 0.05543991 ... 0.79825584 0.79426695 0.78868986],0.7508225516639246,0.019142407692692535
1,6.0,[0.05397133 0.05397133 0.05545349 ... 0.77561832 0.7737543  0.77213165],0.7750120239749908,0.016269999424197067
1,6.5,[0.05397133 0.05397133 0.05546706 ... 0.78498125 0.78079141 0.77746286],0.7909199171299665,0.014854722370679405
1,7.0,[0.05397133 0.05397133 0.05548064 ... 0.81844217 0.8193261  0.81995717],0.8116771129761551,0.013566155040234576
1,7.5,[0.05397133 0.05397133 0.05549422 ... 0.83637226 0.83673283 0.83687528],0.8309792098724399,0.013765333107350983
1,8.0,[0.05397133 0.05397133 0.0555078  ... 0.85771898 0.86018519 0.86295376],0.8495020498354398,0.016923895826256082
1,8.5,[0.05397133 0.05397133 0.05552138 ... 0.86637856 0.86248281 0.8590369 ],0.8593909569850018,0.019646711104276834
1,9.0,[0.05397133 0.05397133 0.05553497 ... 0.85030445 0.85063051 0.85123387],0.8625541818228485,0.016953087964336606
1,9.5,[0.05397133 0.05397133 0.05554855 ... 0.86158758 0.8597064  0.85795102],0.8768344639122178,0.012309870424523847
1,10.0,[0.05397133 0.05397133 0.05556214 ... 0.88704938 0.88823818 0.88928614],0.8973015394638255,0.01621121910224178
1,10.5,[0.05397133 0.05397133 0.05557572 ... 0.92913842 0.9387723  0.94782505],0.9092676681967996,0.028273268836741777
1,11.0,[0.05397133 0.05397133 0.05558931 ... 0.88527055 0.88431855 0.88446476],0.9169219943682613,0.026882367686376602
1,11.5,[0.05397133 0.05397133 0.0556029  ... 0.94459008 0.9518413  0.95727429],0.9158333129977232,0.025865654388784808
1,12.0,[0.05397133 0.05397133 0.05561649 ... 0.93258537 0.92490481 0.9179128 ],0.9177494051025219,0.02593029263621223
1,12.5,[0.05397133 0.05397133 0.05563008 ... 0.94642744 0.94225759 0.93865624],0.9356818734133382,0.014627543082299913
1,13.0,[0.05397133 0.05397133 0.05564367 ... 0.93496238 0.93492376 0.93497338],0.9460096733893137,0.011222668119932399
1,13.5,[0.05397133 0.05397133 0.05565726 ... 0.96184119 0.96023813 0.95811693],0.9483264952686971,0.010994938733598286
1,14.0,[0.05397133 0.05397133 0.05567086 ... 0.96094135 0.96020654 0.9599274 ],0.9646564361939076,0.005043896461014564
