level_0,level_1,rs,r_mean,r_std
0,1.0,[0.03193045 0.03193045 0.03306593 ... 0.011706   0.01372212 0.01639414],0.034352356259730724,0.018352709708270135
0,1.5,[0.03193045 0.03193045 0.03307591 ... 0.06521356 0.06309679 0.06003538],0.04163567798311846,0.01880030121957257
0,2.0,[0.03193045 0.03193045 0.03308589 ... 0.06571598 0.06408984 0.06198902],0.03827732358098517,0.02061697456346054
0,2.5,[0.03193045 0.03193045 0.02864918 ... 0.07680712 0.0805372  0.08419057],0.07446078374743789,0.038402059739938495
0,3.0,[0.03193045 0.03193045 0.03310584 ... 0.50347529 0.5053378  0.50640004],0.4875490364240673,0.02453853560734863
0,3.5,[0.03193045 0.03193045 0.03311582 ... 0.55257158 0.55469991 0.55668057],0.6062442738021734,0.06346099349633895
0,4.0,[0.03193045 0.03193045 0.0331258  ... 0.66450452 0.65937802 0.65425337],0.6607030919672834,0.040767099216252156
0,4.5,[0.03193045 0.03193045 0.03313579 ... 0.75430292 0.7515444  0.7485054 ],0.7346604978483808,0.022793507814301974
0,5.0,[0.03193045 0.03193045 0.03314577 ... 0.75808209 0.76223415 0.76664646],0.7597373889943397,0.019426617631607287
0,5.5,[0.03193045 0.03193045 0.03315575 ... 0.7966061  0.79410345 0.79145866],0.7961113061609223,0.022707500804568372
0,6.0,[0.03193045 0.03193045 0.03316574 ... 0.75164816 0.75384241 0.75731487],0.8094111356821238,0.034930252503765497
0,6.5,[0.03193045 0.03193045 0.03317572 ... 0.83894583 0.83275993 0.82658083],0.8155042777110197,0.026724558129915088
0,7.0,[0.03193045 0.03193045 0.03318571 ... 0.86651017 0.87133175 0.87653057],0.8660431704288307,0.015431795277106818
0,7.5,[0.03193045 0.03193045 0.0331957  ... 0.90603984 0.90333176 0.89980164],0.8755888368701417,0.016521717405704815
0,8.0,[0.03193045 0.03193045 0.03320569 ... 0.88321363 0.88073972 0.8793433 ],0.8986590661356558,0.020574222013695527
0,8.5,[0.03193045 0.03193045 0.03321568 ... 0.9113589  0.90544529 0.89994004],0.902572301733318,0.021288587247779853
0,9.0,[0.03193045 0.03193045 0.03322567 ... 0.87497668 0.87270276 0.87136825],0.902073769327844,0.02230823491741702
0,9.5,[0.03193045 0.03193045 0.03323566 ... 0.89178019 0.89339208 0.89592952],0.9134725651084474,0.015891591909931335
0,10.0,[0.03193045 0.03193045 0.03324566 ... 0.94408688 0.94414995 0.94412207],0.9375400468737844,0.00793172544044317
0,10.5,[0.03193045 0.03193045 0.03325565 ... 0.95480857 0.95452459 0.95352807],0.9452858627908252,0.008952143490841526
0,11.0,[0.03193045 0.03193045 0.03326565 ... 0.9574474  0.95457278 0.95185052],0.9503205086284936,0.009167145640712379
0,11.5,[0.03193045 0.03193045 0.03327565 ... 0.94074658 0.94403722 0.94790301],0.9498253340251475,0.00828543226851316
0,12.0,[0.03193045 0.03193045 0.03328564 ... 0.96642657 0.96568057 0.96459243],0.9576417669133017,0.009505748364212722
0,12.5,[0.03193045 0.03193045 0.03329564 ... 0.9568245  0.960733   0.96503111],0.9570184202479107,0.009634936431098246
0,13.0,[0.03193045 0.03193045 0.03330564 ... 0.97092399 0.96932527 0.96799259],0.9737976883204457,0.00444653060125691
0,13.5,[0.03193045 0.03193045 0.03331564 ... 0.97257339 0.97156692 0.97097731],0.9765597223551423,0.004190392536734671
0,14.0,[0.03193045 0.03193045 0.03332565 ... 0.97161189 0.97128894 0.97152402],0.9764005800144874,0.0033934742867841737
0,14.5,[0.03193045 0.03193045 0.03333565 ... 0.98691084 0.98698561 0.98640991],0.9791098111829355,0.0028084174360999965
1,1.0,[0.05397133 0.05397133 0.0553245  ... 0.07379542 0.06761968 0.0618489 ],0.04862243517542185,0.024946505354204746
1,1.5,[0.05397133 0.05397133 0.05534143 ... 0.04996579 0.04592728 0.04173307],0.05157920564849655,0.025877845062464457
1,2.0,[0.05397133 0.05397133 0.05535836 ... 0.03510853 0.0354314  0.03549651],0.049647523726622775,0.026846629566239795
1,2.5,[0.05397133 0.05397133 0.05466639 ... 0.05914798 0.05637021 0.05314043],0.056001191631477085,0.026344614506611394
1,3.0,[0.05397133 0.05397133 0.05539223 ... 0.51525835 0.51482226 0.51438509],0.5308781807594808,0.0251297030010248
1,3.5,[0.05397133 0.05397133 0.05540917 ... 0.68434994 0.67632094 0.66729669],0.6428607783394716,0.0461802562040322
1,4.0,[0.05397133 0.05397133 0.05542611 ... 0.68582431 0.67328581 0.66094948],0.6477357824215328,0.0563469528781944
1,4.5,[0.05397133 0.05397133 0.05544305 ... 0.68687424 0.68604356 0.68597306],0.722356186789081,0.0193082663509006
1,5.0,[0.05397133 0.05397133 0.05545999 ... 0.75324963 0.75170827 0.75030028],0.7722054170284206,0.016053269598350742
1,5.5,[0.05397133 0.05397133 0.05547694 ... 0.78024257 0.78402196 0.78820311],0.8033958286798784,0.014579052098895035
1,6.0,[0.05397133 0.05397133 0.05549388 ... 0.79950628 0.7971741  0.79560342],0.8203164000379473,0.01384822336736631
1,6.5,[0.05397133 0.05397133 0.05551083 ... 0.84054953 0.84260235 0.84407622],0.8338632407049852,0.015105065385114478
1,7.0,[0.05397133 0.05397133 0.05552778 ... 0.8775369  0.87635266 0.87427697],0.8561674288501603,0.011648444669865038
1,7.5,[0.05397133 0.05397133 0.05554473 ... 0.86809378 0.86851003 0.86862694],0.8593230402589187,0.017250565881864823
1,8.0,[0.05397133 0.05397133 0.05556169 ... 0.90213276 0.90551751 0.90831948],0.889949658003857,0.012181430776877654
1,8.5,[0.05397133 0.05397133 0.05557864 ... 0.88746709 0.88765324 0.8880909 ],0.8965236293523976,0.013897858487307973
1,9.0,[0.05397133 0.05397133 0.0555956  ... 0.94242292 0.93716561 0.9313706 ],0.9152248970707832,0.021609786808581406
1,9.5,[0.05397133 0.05397133 0.05561256 ... 0.90861253 0.90548573 0.90338358],0.9162675065904959,0.02090144631860814
1,10.0,[0.05397133 0.05397133 0.05562952 ... 0.90568643 0.90269388 0.89950722],0.9145290822241422,0.021121839807572873
1,10.5,[0.05397133 0.05397133 0.05564648 ... 0.94776364 0.94757002 0.94702963],0.9443912363152769,0.008127543796455897
1,11.0,[0.05397133 0.05397133 0.05566344 ... 0.94947934 0.94960113 0.94906835],0.946730188228257,0.00879799675929405
1,11.5,[0.05397133 0.05397133 0.05568041 ... 0.97027653 0.9707285  0.97040403],0.9632436492464255,0.005497910924725326
1,12.0,[0.05397133 0.05397133 0.05569738 ... 0.97716961 0.97858276 0.97955098],0.9715603932869469,0.004924040334862673
1,12.5,[0.05397133 0.05397133 0.05571435 ... 0.97488398 0.97569716 0.97643112],0.9713556382154964,0.005255615547402589
1,13.0,[0.05397133 0.05397133 0.05573132 ... 0.97094059 0.97101903 0.97076702],0.9710813591098602,0.004278257083635412
1,13.5,[0.05397133 0.05397133 0.05574829 ... 0.97539523 0.97488768 0.97445994],0.9738042674266296,0.004478142299260251
1,14.0,[0.05397133 0.05397133 0.05576526 ... 0.97245911 0.97138963 0.9708069 ],0.9764194124115059,0.004817355770913584
1,14.5,[0.05397133 0.05397133 0.05578224 ... 0.98379125 0.9848466  0.98536198],0.979173426380861,0.004886976987604077
2,1.0,[0.04531138 0.04531138 0.04027517 ... 0.05768952 0.05225249 0.04717337],0.03883398269843996,0.018714938128656006
2,1.5,[0.04531138 0.04531138 0.04028846 ... 0.00869125 0.00646802 0.00537496],0.037989262366474624,0.024569997806440046
2,2.0,[0.04531138 0.04531138 0.04030175 ... 0.07796109 0.0889434  0.09916441],0.05308981926402359,0.031969827758813955
