level_0,level_1,rs,r_mean,r_std
0,1.0,[0.03193045 0.03193045 0.03305932 ... 0.00763052 0.01091974 0.01529326],0.0348737878814073,0.0196155591554982
0,1.5,[0.03193045 0.03193045 0.03306599 ... 0.07444291 0.06996997 0.06476631],0.0416183207888171,0.0235046512009869
0,2.0,[0.03193045 0.03193045 0.02862706 ... 0.05218784 0.05485397 0.05711664],0.0501708634681149,0.0234651407221191
0,2.5,[0.03193045 0.03193045 0.02863342 ... 0.14962947 0.15573889 0.1620416 ],0.24048755324558713,0.11403538051782192
0,3.0,[0.03193045 0.03193045 0.033086   ... 0.10836399 0.11432819 0.11971449],0.2618972670467759,0.1756903363447793
0,3.5,[0.03193045 0.03193045 0.03309267 ... 0.55659986 0.57829459 0.59965315],0.4649521394488637,0.1560618615887189
0,4.0,[0.03193045 0.03193045 0.03309934 ... 0.17626017 0.1740372  0.17490153],0.438497188584976,0.2001292216944075
0,4.5,[0.03193045 0.03193045 0.03310601 ... 0.66219992 0.62828074 0.59368648],0.4964941406052813,0.1738616596166292
0,5.0,[0.03193045 0.03193045 0.03311268 ... 0.43931337 0.44077366 0.44251712],0.5706051846934931,0.1186546264052334
0,5.5,[0.03193045 0.03193045 0.03311935 ... 0.70208346 0.68811083 0.67422931],0.6613132825825707,0.0823938342707065
0,6.0,[0.03193045 0.03193045 0.03312602 ... 0.6750683  0.67152913 0.66841813],0.7026697210322299,0.0319830983667798
0,6.5,[0.03193045 0.03193045 0.0331327  ... 0.784245   0.78112025 0.77699406],0.7610878832172618,0.024702532665954
0,7.0,[0.03193045 0.03193045 0.03313937 ... 0.81112109 0.80621782 0.80042928],0.7879702161754144,0.0234346359328674
0,7.5,[0.03193045 0.03193045 0.03314604 ... 0.83207839 0.84072458 0.84900315],0.806646043274918,0.0427172187354902
0,8.0,[0.03193045 0.03193045 0.03315272 ... 0.82881375 0.83206462 0.83549469],0.8149990237883035,0.0398878157873365
0,8.5,[0.03193045 0.03193045 0.03315939 ... 0.7327131  0.73567369 0.73884915],0.7671471833303376,0.0651980779755333
0,9.0,[0.03193045 0.03193045 0.03316607 ... 0.79664828 0.80156625 0.80741296],0.8148473347469795,0.045502092268424
0,9.5,[0.03193045 0.03193045 0.03317274 ... 0.91482075 0.9113777  0.90573183],0.8567655321594755,0.0244229012919508
0,10.0,[0.03193045 0.03193045 0.03317942 ... 0.89453991 0.9004038  0.90478534],0.8706113051160412,0.0315591899789499
0,10.5,[0.03193045 0.03193045 0.0331861  ... 0.86938863 0.87800184 0.88784677],0.8877759375511771,0.0295980232628439
0,11.0,[0.03193045 0.03193045 0.03319277 ... 0.86922034 0.86779351 0.867153  ],0.8907206714799147,0.0310512713835119
0,11.5,[0.03193045 0.03193045 0.03319945 ... 0.92858608 0.93791158 0.9457579 ],0.9016221973478508,0.0266383250973914
0,12.0,[0.03193045 0.03193045 0.03320613 ... 0.93444444 0.93068573 0.92566831],0.9044466734718194,0.0252820746677055
0,12.5,[0.03193045 0.03193045 0.03321281 ... 0.87739765 0.88180974 0.88684053],0.9053412208290496,0.0238321801069483
0,13.0,[0.03193045 0.03193045 0.03321949 ... 0.88070823 0.87853632 0.87716262],0.9050170270135206,0.0237623038644299
0,13.5,[0.03193045 0.03193045 0.03322617 ... 0.87998751 0.88062858 0.88199312],0.906725524560266,0.0237522369680098
0,14.0,[0.03193045 0.03193045 0.03323285 ... 0.90718438 0.91260837 0.91839836],0.9078457546935186,0.0194476045147156
0,14.5,[0.03193045 0.03193045 0.03323953 ... 0.93713549 0.93406328 0.93135742],0.9404362111125087,0.0108485065350134
1,1.0,[0.05397133 0.05397133 0.05531328 ... 0.08794716 0.08419808 0.08102067],0.0452941103758467,0.0240335318041449
1,1.5,[0.05397133 0.05397133 0.0553246  ... 0.04260216 0.0417034  0.04043847],0.0419343935543611,0.0236648985542553
1,2.0,[0.05397133 0.05397133 0.05462728 ... 0.03287778 0.03404489 0.03490655],0.0440572836935268,0.0237321682277769
1,2.5,[0.05397133 0.05397133 0.05463852 ... 0.06137708 0.06792574 0.07547098],0.29064143630209105,0.17095553900610322
1,3.0,[0.05397133 0.05397133 0.05535855 ... 0.44885662 0.46398848 0.4790037 ],0.3769718101631775,0.1447087124305511
1,3.5,[0.05397133 0.05397133 0.05536987 ... 0.28495643 0.27675747 0.26954683],0.4401450862434344,0.1524285320208599
1,4.0,[0.05397133 0.05397133 0.05538119 ... 0.56515396 0.56904086 0.5735401 ],0.5889022063349898,0.0543121707691689
1,4.5,[0.05397133 0.05397133 0.05539252 ... 0.48993976 0.46887014 0.45063448],0.5364533713929593,0.1536695078438032
1,5.0,[0.05397133 0.05397133 0.05540384 ... 0.66381625 0.64502198 0.62719525],0.6497859082842754,0.0855544143731069
1,5.5,[0.05397133 0.05397133 0.05541516 ... 0.57147293 0.572289   0.57351906],0.6539710760039331,0.0790706578646183
1,6.0,[0.05397133 0.05397133 0.05542649 ... 0.64458564 0.64412559 0.6450261 ],0.6883456502974502,0.057668234138068
1,6.5,[0.05397133 0.05397133 0.05543781 ... 0.72899245 0.73506022 0.7415646 ],0.7642869185600698,0.0193082111962329
1,7.0,[0.05397133 0.05397133 0.05544914 ... 0.79554656 0.79412998 0.79279337],0.7831257818529517,0.0153340100284954
1,7.5,[0.05397133 0.05397133 0.05546046 ... 0.79144895 0.78720106 0.78374944],0.7939007693928979,0.0253951201582196
1,8.0,[0.05397133 0.05397133 0.05547179 ... 0.80215401 0.80348955 0.80540322],0.8149762808685004,0.0162156666932272
1,8.5,[0.05397133 0.05397133 0.05548312 ... 0.83125625 0.82963895 0.82731672],0.821320244076882,0.0146524160679841
1,9.0,[0.05397133 0.05397133 0.05549445 ... 0.82929301 0.83420104 0.83951413],0.8404430265823283,0.0336559504210697
1,9.5,[0.05397133 0.05397133 0.05550578 ... 0.8849644  0.88086215 0.87578593],0.8552751988129612,0.0278325804352255
1,10.0,[0.05397133 0.05397133 0.05551711 ... 0.81281302 0.81477861 0.81795874],0.8551293600952482,0.0310405480137749
1,10.5,[0.05397133 0.05397133 0.05552844 ... 0.86161263 0.85807765 0.85521522],0.8595500796612173,0.0286898754140069
1,11.0,[0.05397133 0.05397133 0.05553977 ... 0.86160745 0.85577829 0.85140584],0.8613660321567894,0.0276470866045045
1,11.5,[0.05397133 0.05397133 0.0555511  ... 0.87805355 0.87353179 0.86996625],0.899364839347189,0.0363202836407917
1,12.0,[0.05397133 0.05397133 0.05556244 ... 0.86042012 0.86199584 0.86442618],0.9037576052754768,0.0349330299406646
1,12.5,[0.05397133 0.05397133 0.05557377 ... 0.88141673 0.8826646  0.88461496],0.9133338526917902,0.0299444929864421
1,13.0,[0.05397133 0.05397133 0.05558511 ... 0.90563441 0.9090888  0.91250136],0.9180277526364492,0.0280267836372031
1,13.5,[0.05397133 0.05397133 0.05559644 ... 0.89194445 0.89279344 0.8944504 ],0.9169343668748048,0.0279793396364394
1,14.0,[0.05397133 0.05397133 0.05560778 ... 0.96259453 0.95852685 0.95202867],0.917063711222128,0.0281829280117539
1,14.5,[0.05397133 0.05397133 0.05561912 ... 0.89350603 0.89291616 0.89251272],0.9154525443331136,0.0276793015872653
2,1.0,[0.04531138 0.04531138 0.04026636 ... 0.04954348 0.04405967 0.0387172 ],0.0331062151490827,0.0169244026027524
2,1.5,[0.04531138 0.04531138 0.04027525 ... 0.03144108 0.03215828 0.03292169],0.0425676363020972,0.0233968830836701
2,2.0,[0.04531138 0.04531138 0.04564286 ... 0.05938821 0.06151552 0.06301445],0.0458975897707813,0.0224020392822246
2,2.5,[0.04531138 0.04531138 0.04565205 ... 0.11193311 0.12027695 0.1294281 ],0.284400938105524,0.13764090664082781
2,3.0,[0.04531138 0.04531138 0.0403019  ... 0.48007824 0.4625184  0.44464136],0.2612267248356264,0.1985845896509362
2,3.5,[0.04531138 0.04531138 0.04031079 ... 0.58772796 0.59052666 0.59031582],0.2799906077355646,0.1774815816841001
2,4.0,[0.04531138 0.04531138 0.04031968 ... 0.1985237  0.19042843 0.18404906],0.4149873141038835,0.1941302887440166
2,4.5,[0.04531138 0.04531138 0.04032856 ... 0.43981253 0.43910448 0.43984699],0.5755210493148604,0.1175340645546537
2,5.0,[0.04531138 0.04531138 0.04033745 ... 0.72486141 0.69855543 0.6714263 ],0.5763113941648703,0.1372898143730124
