level_0,level_1,rs,r_mean,r_std
0,14.5,[0.03193045 0.03193045 0.03310423 ... 0.71916232 0.69493865 0.6724504 ],0.7311398096674563,0.1055276826265987
1,1.0,[0.05397133 0.05397133 0.05529746 ... 0.07282816 0.06733461 0.06244132],0.04443458088996371,0.023533676930925274
1,1.5,[0.05397133 0.05397133 0.05530087 ... 0.03446109 0.0248979  0.01863652],0.051887677755737154,0.024692976783403528
1,2.0,[0.05397133 0.05397133 0.05530428 ... 0.09779147 0.09475009 0.09103738],0.06060592283868686,0.03015366051449044
1,2.5,[0.05397133 0.05397133 0.05530769 ... 0.07140923 0.07249411 0.07369345],0.0899643241942371,0.05476700766011102
1,3.0,[0.05397133 0.05397133 0.05531109 ... 0.13695509 0.12680117 0.11597108],0.1880052983356729,0.08420342974364602
1,3.5,[0.05397133 0.05397133 0.0553145  ... 0.13330397 0.13960506 0.14631156],0.20337530479051083,0.14629772571171015
1,4.0,[0.05397133 0.05397133 0.05531791 ... 0.09047875 0.0768569  0.06258867],0.2439835676193278,0.19702818336974842
1,4.5,[0.05397133 0.05397133 0.05532132 ... 0.06147138 0.07031882 0.08209086],0.28049944533356885,0.24753358559238123
1,5.0,[0.05397133 0.05397133 0.05532473 ... 0.71978972 0.71257874 0.70154236],0.24529511490094652,0.24703166330387133
1,5.5,[0.05397133 0.05397133 0.05532814 ... 0.06263101 0.05737659 0.05259651],0.2733057364190413,0.2252703792445023
1,6.0,[0.05397133 0.05397133 0.05533154 ... 0.63315498 0.61890083 0.6029436 ],0.40343406741105087,0.1905013852180377
1,6.5,[0.05397133 0.05397133 0.05533495 ... 0.0846001  0.08781604 0.09283409],0.3414220940932139,0.24352235441697878
1,7.0,[0.05397133 0.05397133 0.05533836 ... 0.35077375 0.35031165 0.35251464],0.5745880895176272,0.15503358102220516
1,7.5,[0.05397133 0.05397133 0.05534177 ... 0.49855315 0.47851103 0.46036674],0.5360232762784839,0.18170532691412533
1,8.0,[0.05397133 0.05397133 0.05534518 ... 0.73580537 0.7148522  0.69316019],0.6003794132527546,0.14528580145553385
1,8.5,[0.05397133 0.05397133 0.05534859 ... 0.76075761 0.75109385 0.74174507],0.7368199270393008,0.06688103747787123
1,9.0,[0.05397133 0.05397133 0.055352   ... 0.46940074 0.47083208 0.47259248],0.5600374593219619,0.1039955002093
1,9.5,[0.05397133 0.05397133 0.05535541 ... 0.7373813  0.73449917 0.72961211],0.5915902674616104,0.11931191672728278
1,10.0,[0.05397133 0.05397133 0.05535882 ... 0.76049875 0.73694378 0.71188252],0.5834501294950394,0.13650237177729865
1,10.5,[0.05397133 0.05397133 0.05536222 ... 0.70424534 0.70511021 0.70597502],0.7385369432393367,0.06352861841383887
1,11.0,[0.05397133 0.05397133 0.05536563 ... 0.59645958 0.60043309 0.6042806 ],0.6532962616982046,0.10804044273062832
1,11.5,[0.05397133 0.05397133 0.05536904 ... 0.72399872 0.68513191 0.64719548],0.6185013733449122,0.14109349201807445
1,12.0,[0.05397133 0.05397133 0.05537245 ... 0.70115408 0.72128029 0.74244447],0.7369606450139726,0.06708258139830171
1,12.5,[0.05397133 0.05397133 0.05537586 ... 0.83418769 0.82227856 0.80656728],0.6416917783587855,0.11314309408046735
1,13.0,[0.05397133 0.05397133 0.05537927 ... 0.67144782 0.66391593 0.65671811],0.6889972644570842,0.09494877279063486
1,13.5,[0.05397133 0.05397133 0.05538268 ... 0.63090867 0.63148492 0.63307974],0.7334922274917849,0.08219001208978607
1,14.0,[0.05397133 0.05397133 0.05538609 ... 0.65327923 0.65110093 0.65089476],0.7320811414409844,0.06298542034716842
1,14.5,[0.05397133 0.05397133 0.0553895  ... 0.68716938 0.69064545 0.696549  ],0.7463128234078256,0.06260441605149408
2,1.0,[0.04531138 0.04531138 0.04025395 ... 0.01143303 0.00826406 0.00905083],0.03625904643842503,0.02015449970538132
2,1.5,[0.04531138 0.04531138 0.04025662 ... 0.01750348 0.0176641  0.0178476 ],0.047746703144784276,0.02463098654933759
2,2.0,[0.04531138 0.04531138 0.0402593  ... 0.074975   0.07128854 0.06743889],0.08051038416861843,0.03269538668578646
2,2.5,[0.04531138 0.04531138 0.04026198 ... 0.07848495 0.07476174 0.0712532 ],0.12092929179607116,0.06581021571130642
2,3.0,[0.04531138 0.04531138 0.04026465 ... 0.33204574 0.3368353  0.34079851],0.21264598388973932,0.10124839982246812
2,3.5,[0.04531138 0.04531138 0.04026733 ... 0.37171472 0.347227   0.32138279],0.2606179862873156,0.11094699237896803
2,4.0,[0.04531138 0.04531138 0.04027    ... 0.08624932 0.09292724 0.1025532 ],0.23442103813105056,0.19791061543210908
2,4.5,[0.04531138 0.04531138 0.04027268 ... 0.56510059 0.55990878 0.5532576 ],0.27567464352497895,0.1189276793331091
2,5.0,[0.04531138 0.04531138 0.04027535 ... 0.50702766 0.53710347 0.56604474],0.329155249967641,0.2399171114951807
2,5.5,[0.04531138 0.04531138 0.04027803 ... 0.68288364 0.69639576 0.70624326],0.33739783994320527,0.25309447279553104
2,6.0,[0.04531138 0.04531138 0.0402807  ... 0.05982813 0.05084111 0.04623423],0.30991050006581394,0.2721297920699734
2,6.5,[0.04531138 0.04531138 0.04028338 ... 0.56159266 0.53488248 0.50717187],0.34595741013534304,0.2680004685050321
2,7.0,[0.04531138 0.04531138 0.04028606 ... 0.50324599 0.49394151 0.48478331],0.39258049411968127,0.16003998536169475
2,7.5,[0.04531138 0.04531138 0.04028873 ... 0.55619648 0.54660864 0.5363644 ],0.4658774533940604,0.10145467373687067
