level_0,level_1,rs,r_mean,r_std
0,1.0,[0.03193045 0.03193045 0.03307251 ... 0.02113901 0.02220848 0.02388599],0.03315823788765704,0.01849344330441347
0,1.5,[0.03193045 0.03193045 0.03308578 ... 0.09847452 0.10013499 0.10078647],0.047668964715314954,0.02657108150949282
0,2.0,[0.03193045 0.03193045 0.03309904 ... 0.04112165 0.03836799 0.03686849],0.05310974302397007,0.03352666066356109
0,2.5,[0.03193045 0.03193045 0.03311231 ... 0.05249353 0.05026943 0.04774048],0.056869625030349154,0.026952848948438746
0,3.0,[0.03193045 0.03193045 0.03312558 ... 0.63274395 0.63484037 0.63615274],0.6070358213066879,0.017113297799849814
0,3.5,[0.03193045 0.03193045 0.03313886 ... 0.66619509 0.6706904  0.6757103 ],0.6976656812430841,0.01584008344734463
0,4.0,[0.03193045 0.03193045 0.03315213 ... 0.72535498 0.72293275 0.72121622],0.7581931983694425,0.021017307649279476
0,4.5,[0.03193045 0.03193045 0.03316541 ... 0.77452542 0.77778346 0.78123179],0.7998072080589874,0.024909410284092614
0,5.0,[0.03193045 0.03193045 0.03317869 ... 0.81581791 0.81768202 0.8193704 ],0.8055694654098705,0.02572821736698287
0,5.5,[0.03193045 0.03193045 0.03319197 ... 0.85971615 0.85997054 0.86028803],0.860371890179178,0.012330991611420877
0,6.0,[0.03193045 0.03193045 0.03320525 ... 0.89951857 0.90059517 0.90048397],0.880757565567036,0.01363157988894935
0,6.5,[0.03193045 0.03193045 0.03321854 ... 0.92158371 0.92015674 0.91780894],0.8983596115440089,0.017489954969872466
0,7.0,[0.03193045 0.03193045 0.03323182 ... 0.87581129 0.87795045 0.88071259],0.8972600089503767,0.01805972131776378
0,7.5,[0.03193045 0.03193045 0.03324511 ... 0.90622786 0.90852912 0.91164018],0.92037938279035,0.009539208012069264
0,8.0,[0.03193045 0.03193045 0.0332584  ... 0.94541404 0.94536686 0.94505651],0.9421617619230742,0.007480805246711824
0,8.5,[0.03193045 0.03193045 0.03327169 ... 0.9375359  0.9389516  0.94046456],0.9476449700726975,0.007088136673102942
0,9.0,[0.03193045 0.03193045 0.03328499 ... 0.95784706 0.95805361 0.95736768],0.9498260543919932,0.007815380490934004
0,9.5,[0.03193045 0.03193045 0.03329828 ... 0.95870835 0.95872009 0.95840979],0.9577524828682681,0.00820400971247957
0,10.0,[0.03193045 0.03193045 0.03331158 ... 0.96893991 0.96977884 0.97060843],0.9717357710172844,0.004235431912070083
0,10.5,[0.03193045 0.03193045 0.03332488 ... 0.97787168 0.97678057 0.97577322],0.9745669340545668,0.003953426955967076
0,11.0,[0.03193045 0.03193045 0.03333818 ... 0.98584758 0.98573538 0.98504166],0.9774347569095526,0.004143613060680148
0,11.5,[0.03193045 0.03193045 0.03335148 ... 0.98254388 0.98353577 0.9842348 ],0.9802266033564755,0.004136787133061446
0,12.0,[0.03193045 0.03193045 0.03336479 ... 0.98145782 0.98189074 0.98267469],0.9831246385615466,0.002935755087191575
0,12.5,[0.03193045 0.03193045 0.0333781  ... 0.98196209 0.98201612 0.98193241],0.9830165297705403,0.0034883575581976605
0,13.0,[0.03193045 0.03193045 0.03339141 ... 0.98838721 0.98852299 0.98837435],0.9827553723647101,0.0033137367964433686
0,13.5,[0.03193045 0.03193045 0.03340472 ... 0.99108895 0.99265847 0.99414062],0.9885664007909386,0.003687018553525445
0,14.0,[0.03193045 0.03193045 0.03341803 ... 0.99461845 0.99429925 0.99406723],0.9944344716203284,0.0012892352938100025
0,14.5,[0.03193045 0.03193045 0.03343134 ... 0.99761109 0.99761109 0.99761109],0.997611086356385,1.0979426536895534e-16
1,1.0,[0.05397133 0.05397133 0.05533567 ... 0.09264848 0.08713933 0.08139796],0.049026824912417416,0.025167377669933134
